"id","title","summary"
"noticias-internacional-39424071","Estados Unidos: 3 claves para entender la orden ejecutiva firmada por Donald Trump para desmantelar la política medioambiental de Barack Obama","""Vamos a poner a nuestros mineros a trabajar otra vez"", dijo el presidente Donald Trump este martes al firmar una nueva orden ejecutiva."
"noticias-america-latina-38324125","""Toma una escoba y barre el piso"": la polémica en Brasil por los comentarios sexistas a la ganadora de Master Chef","La última temporada del concurso ""Master Chef"" en Brasil estuvo llena de polémica."
"noticias-45574011","Qué son los algoritmos ""de caja negra"" y por qué se han convertido en un misterio urgente por resolver","¿Qué es un algoritmo? Es una palabra de moda, pero a muchos todavía nos cuesta comprender su significado."
"noticias-38805692","Muere Masaya Nakamura, el padre del legendario videojuego Pac-Man","El videojuego arcade más exitoso de la historia perdió a su padre."
"131213_ultnot_tiroteo_colorado_vp","Tiroteo y suicidio en la escuela Arapahoe de Colorado, EE.UU.","Fue una tarde de terror y desconcierto, apenas horas antes de que se celebrara el primer aniversario de la masacre escolar de Newtwon: en la secundaria Arapahoe, al sur de la ciudad de Denver, en Estados Unidos, un joven armado entró a las instalaciones y comenzó a disparar."
"noticias-internacional-50811389","Cambio climático: los gráficos animados que muestran los 15 países que más CO2 emitieron en los últimos 20 años","México y Brasil son los únicos países de América Latina en el ranking de los 15 países que más emiten dióxido de carbono (CO2) en el mundo, según datos del Global Carbon Atlas, una colaboración entre la red internacional de científicos Future Earth y la ONU."
"noticias-54303027","Contagio de coronavirus: 4 pasos para volver a viajar minimizando los riesgos infección, según la Organización Mundial del Turismo","Seguramente no hayas podido viajar en este 2020 por culpa de la pandemia, pero conforme se reabren fronteras hay más posibilidades."
"140824_ultnot_eeuu_california_terremoto_lv","EE.UU: terremoto de magnitud 6,0 sacude el norte de California","Un terremoto de magnitud 6,0 en la escala Richter sacudió este domingo el norte de California, según el Centro Geológico de Estados Unidos. De momento no se han reportado victimas ni daños materiales serios."
"140912_tecnologia_computadoras_bonsai_ig","Informática de bonsái: el hombre que miniaturiza la tecnología","Ben Heck se especializa en lo que bien podría llamarse ""informática de bonsai"". Su pasatiempo es miniaturizar consolas de videojuego."
"noticias-internacional-52501873","Coronavirus en Estados Unidos: por qué están despidiendo a tantas enfermeras a pesar de lo necesarias que son en medio de la pandemia","En un momento en el que los profesionales de la salud están poniendo sus vidas en riesgo, decenas de miles de doctores en Estados Unidos están enfrentando grandes reducciones en sus salarios."
